0,1,2,3,4,5,6,7,8,9,10,11,12,13
Tổng số,,299302.0,397584.0,392373.0,400800.0,449297.0,468355.4,518125,540252.0,591964.9,642063.9,698028.6,680900.9
1,TP Phan Thiết,6800.0,8950.0,8833.0,7250.0,8190.0,8229.8,8243,8542.0,9547.1,10355.5,10161.2,10445.3
2,Thị xã La Gi,6932.0,7428.0,7331.0,10403.0,13365.0,18190.0,22940,21925.0,26504.3,28748.7,27349.2,32034.1
3,Huyện Tuy Phong,606.0,924.0,912.0,1070.0,1194.0,1742.8,3825,3682.0,4398.0,4770.4,8840.0,8623.1
4,Huyện Bắc Bình,16200.0,15458.0,15255.0,25500.0,25000.0,28500.0,45282,49439.8,56640.0,61436.4,79440.6,77600.0
5,Huyện Hàm Thuận Bắc,96500.0,99957.0,98647.0,122718.0,126350.0,139004.0,178656,174525.0,176315.0,191245.8,174953.8,156159.7
6,Huyện Hàm Thuận Nam,171230.0,263335.0,259884.0,230385.0,270500.0,264958.5,245199,266104.0,295997.5,321033.3,365080.3,355895.6
7,Huyện Tánh Linh,40.0,36.0,36.0,209.0,75.0,146.3,1982,1530.0,2123.0,2302.8,1776.7,1733.1
8,Huyện Đức Linh,,,,,,,,301.0,386.0,418.7,249.7,
9,Huyện Hàm Tân,994.0,1496.0,1.475,3.265,4.623,7584.0,11998,14203.0,20053.6,21751.8,30176.0,38400.1
10,Huyện Phú Quý,,,,,,,,0.2,0.5,0.5,1.1,10.0
