,tenhuyen,nam,dt_sanluong
1,Thị xã La Gi,0.0,2.0
2,Thị xã La Gi,2010.0,6932.0
3,Thị xã La Gi,2011.0,7428.0
4,Thị xã La Gi,2012.0,7331.0
5,Thị xã La Gi,2013.0,10403.0
6,Thị xã La Gi,2014.0,13365.0
7,Thị xã La Gi,2015.0,18190.0
8,Thị xã La Gi,2016.0,22940.0
9,Thị xã La Gi,2017.0,21925.0
10,Thị xã La Gi,2018.0,26504.3
11,Thị xã La Gi,2019.0,28748.7
12,Thị xã La Gi,2020.0,27349.2
13,Thị xã La Gi,2021.0,32034.1
14,Huyện Tuy Phong,0.0,3.0
15,Huyện Tuy Phong,2010.0,606.0
16,Huyện Tuy Phong,2011.0,924.0
17,Huyện Tuy Phong,2012.0,912.0
18,Huyện Tuy Phong,2013.0,1070.0
19,Huyện Tuy Phong,2014.0,1194.0
20,Huyện Tuy Phong,2015.0,1742.8
21,Huyện Tuy Phong,2016.0,3825.0
22,Huyện Tuy Phong,2017.0,3682.0
23,Huyện Tuy Phong,2018.0,4398.0
24,Huyện Tuy Phong,2019.0,4770.4
25,Huyện Tuy Phong,2020.0,8840.0
26,Huyện Tuy Phong,2021.0,8623.1
27,Huyện Bắc Bình,0.0,4.0
28,Huyện Bắc Bình,2010.0,16200.0
29,Huyện Bắc Bình,2011.0,15458.0
30,Huyện Bắc Bình,2012.0,15255.0
31,Huyện Bắc Bình,2013.0,25500.0
32,Huyện Bắc Bình,2014.0,25000.0
33,Huyện Bắc Bình,2015.0,28500.0
34,Huyện Bắc Bình,2016.0,45282.0
35,Huyện Bắc Bình,2017.0,49439.8
36,Huyện Bắc Bình,2018.0,56640.0
37,Huyện Bắc Bình,2019.0,61436.4
38,Huyện Bắc Bình,2020.0,79440.6
39,Huyện Bắc Bình,2021.0,77600.0
40,Huyện Hàm Thuận Bắc,0.0,5.0
41,Huyện Hàm Thuận Bắc,2010.0,96500.0
42,Huyện Hàm Thuận Bắc,2011.0,99957.0
43,Huyện Hàm Thuận Bắc,2012.0,98647.0
44,Huyện Hàm Thuận Bắc,2013.0,122718.0
45,Huyện Hàm Thuận Bắc,2014.0,126350.0
46,Huyện Hàm Thuận Bắc,2015.0,139004.0
47,Huyện Hàm Thuận Bắc,2016.0,178656.0
48,Huyện Hàm Thuận Bắc,2017.0,174525.0
49,Huyện Hàm Thuận Bắc,2018.0,176315.0
50,Huyện Hàm Thuận Bắc,2019.0,191245.8
51,Huyện Hàm Thuận Bắc,2020.0,174953.8
52,Huyện Hàm Thuận Bắc,2021.0,156159.7
53,Huyện Hàm Thuận Nam,0.0,6.0
54,Huyện Hàm Thuận Nam,2010.0,171230.0
55,Huyện Hàm Thuận Nam,2011.0,263335.0
56,Huyện Hàm Thuận Nam,2012.0,259884.0
57,Huyện Hàm Thuận Nam,2013.0,230385.0
58,Huyện Hàm Thuận Nam,2014.0,270500.0
59,Huyện Hàm Thuận Nam,2015.0,264958.5
60,Huyện Hàm Thuận Nam,2016.0,245199.0
61,Huyện Hàm Thuận Nam,2017.0,266104.0
62,Huyện Hàm Thuận Nam,2018.0,295997.5
63,Huyện Hàm Thuận Nam,2019.0,321033.3
64,Huyện Hàm Thuận Nam,2020.0,365080.3
65,Huyện Hàm Thuận Nam,2021.0,355895.6
66,Huyện Tánh Linh,0.0,7.0
67,Huyện Tánh Linh,2010.0,40.0
68,Huyện Tánh Linh,2011.0,36.0
69,Huyện Tánh Linh,2012.0,36.0
70,Huyện Tánh Linh,2013.0,209.0
71,Huyện Tánh Linh,2014.0,75.0
72,Huyện Tánh Linh,2015.0,146.3
73,Huyện Tánh Linh,2016.0,1982.0
74,Huyện Tánh Linh,2017.0,1530.0
75,Huyện Tánh Linh,2018.0,2123.0
76,Huyện Tánh Linh,2019.0,2302.8
77,Huyện Tánh Linh,2020.0,1776.7
78,Huyện Tánh Linh,2021.0,1733.1
79,Huyện Đức Linh,0.0,8.0
80,Huyện Đức Linh,2017.0,301.0
81,Huyện Đức Linh,2018.0,386.0
82,Huyện Đức Linh,2019.0,418.7
83,Huyện Đức Linh,2020.0,249.7
84,Huyện Hàm Tân,0.0,9.0
85,Huyện Hàm Tân,2010.0,994.0
86,Huyện Hàm Tân,2011.0,1496.0
87,Huyện Hàm Tân,2012.0,1.475
88,Huyện Hàm Tân,2013.0,3.265
89,Huyện Hàm Tân,2014.0,4.623
90,Huyện Hàm Tân,2015.0,7584.0
91,Huyện Hàm Tân,2016.0,11998.0
92,Huyện Hàm Tân,2017.0,14203.0
93,Huyện Hàm Tân,2018.0,20053.6
94,Huyện Hàm Tân,2019.0,21751.8
95,Huyện Hàm Tân,2020.0,30176.0
96,Huyện Hàm Tân,2021.0,38400.1
97,Huyện Phú Quý,0.0,10.0
98,Huyện Phú Quý,2017.0,0.2
99,Huyện Phú Quý,2018.0,0.5
100,Huyện Phú Quý,2019.0,0.5
101,Huyện Phú Quý,2020.0,1.1
102,Huyện Phú Quý,2021.0,10.0
