,tenhuyen,nam,dt_sanluong,fdate,tdate,edittime,editby,maso,isvalid,ghichu,tenfile,id_nguoi_upload
1,Thị xã La Gi,0,2.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
2,Thị xã La Gi,2010,6932.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
3,Thị xã La Gi,2011,7428.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
4,Thị xã La Gi,2012,7331.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
5,Thị xã La Gi,2013,10403.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
6,Thị xã La Gi,2014,13365.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
7,Thị xã La Gi,2015,18190.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
8,Thị xã La Gi,2016,22940.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
9,Thị xã La Gi,2017,21925.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
10,Thị xã La Gi,2018,26504.3,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
11,Thị xã La Gi,2019,28748.7,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
12,Thị xã La Gi,2020,27349.2,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
13,Thị xã La Gi,2021,32034.1,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
14,Huyện Tuy Phong,0,3.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
15,Huyện Tuy Phong,2010,606.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
16,Huyện Tuy Phong,2011,924.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
17,Huyện Tuy Phong,2012,912.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
18,Huyện Tuy Phong,2013,1070.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
19,Huyện Tuy Phong,2014,1194.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
20,Huyện Tuy Phong,2015,1742.8,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
21,Huyện Tuy Phong,2016,3825.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
22,Huyện Tuy Phong,2017,3682.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
23,Huyện Tuy Phong,2018,4398.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
24,Huyện Tuy Phong,2019,4770.4,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
25,Huyện Tuy Phong,2020,8840.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
26,Huyện Tuy Phong,2021,8623.1,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
27,Huyện Bắc Bình,0,4.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
28,Huyện Bắc Bình,2010,16200.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
29,Huyện Bắc Bình,2011,15458.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
30,Huyện Bắc Bình,2012,15255.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
31,Huyện Bắc Bình,2013,25500.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
32,Huyện Bắc Bình,2014,25000.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
33,Huyện Bắc Bình,2015,28500.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
34,Huyện Bắc Bình,2016,45282.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
35,Huyện Bắc Bình,2017,49439.8,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
36,Huyện Bắc Bình,2018,56640.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
37,Huyện Bắc Bình,2019,61436.4,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
38,Huyện Bắc Bình,2020,79440.6,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
39,Huyện Bắc Bình,2021,77600.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
40,Huyện Hàm Thuận Bắc,0,5.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
41,Huyện Hàm Thuận Bắc,2010,96500.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
42,Huyện Hàm Thuận Bắc,2011,99957.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
