,0,1,2
1,Thị xã La Gi,0.0,2.0
2,Thị xã La Gi,2010.0,374.0
3,Thị xã La Gi,2011.0,396.0
4,Thị xã La Gi,2012.0,548.0
5,Thị xã La Gi,2013.0,661.0
6,Thị xã La Gi,2014.0,1053.0
7,Thị xã La Gi,2015.0,1175.9
8,Thị xã La Gi,2016.0,1212.0
9,Thị xã La Gi,2017.0,1291.0
10,Thị xã La Gi,2018.0,1300.0
11,Thị xã La Gi,2019.0,1500.0
12,Thị xã La Gi,2020.0,1550.0
13,Thị xã La Gi,2021.0,1580.0
14,Huyện Tuy Phong,0.0,3.0
15,Huyện Tuy Phong,2010.0,41.0
16,Huyện Tuy Phong,2011.0,87.0
17,Huyện Tuy Phong,2012.0,71.0
18,Huyện Tuy Phong,2013.0,100.0
19,Huyện Tuy Phong,2014.0,132.0
20,Huyện Tuy Phong,2015.0,203.9
21,Huyện Tuy Phong,2016.0,284.0
22,Huyện Tuy Phong,2017.0,314.0
23,Huyện Tuy Phong,2018.0,400.0
24,Huyện Tuy Phong,2019.0,609.0
25,Huyện Tuy Phong,2020.0,697.3
26,Huyện Tuy Phong,2021.0,670.0
27,Huyện Bắc Bình,0.0,4.0
28,Huyện Bắc Bình,2010.0,669.0
29,Huyện Bắc Bình,2011.0,633.0
30,Huyện Bắc Bình,2012.0,1140.0
31,Huyện Bắc Bình,2013.0,1350.0
32,Huyện Bắc Bình,2014.0,2100.0
33,Huyện Bắc Bình,2015.0,2396.4
34,Huyện Bắc Bình,2016.0,2796.0
35,Huyện Bắc Bình,2017.0,3041.0
36,Huyện Bắc Bình,2018.0,4060.0
37,Huyện Bắc Bình,2019.0,4214.0
38,Huyện Bắc Bình,2020.0,4549.0
39,Huyện Bắc Bình,2021.0,4267.0
40,Huyện Hàm Thuận Bắc,0.0,5.0
41,Huyện Hàm Thuận Bắc,2010.0,4784.0
42,Huyện Hàm Thuận Bắc,2011.0,6116.0
43,Huyện Hàm Thuận Bắc,2012.0,6334.0
44,Huyện Hàm Thuận Bắc,2013.0,6770.0
45,Huyện Hàm Thuận Bắc,2014.0,8002.0
46,Huyện Hàm Thuận Bắc,2015.0,8678.9
47,Huyện Hàm Thuận Bắc,2016.0,8970.0
48,Huyện Hàm Thuận Bắc,2017.0,8950.0
49,Huyện Hàm Thuận Bắc,2018.0,8970.0
50,Huyện Hàm Thuận Bắc,2019.0,8988.7
51,Huyện Hàm Thuận Bắc,2020.0,8940.0
52,Huyện Hàm Thuận Bắc,2021.0,7869.8
53,Huyện Hàm Thuận Nam,0.0,6.0
54,Huyện Hàm Thuận Nam,2010.0,7026.0
55,Huyện Hàm Thuận Nam,2011.0,10796.0
56,Huyện Hàm Thuận Nam,2012.0,10827.0
57,Huyện Hàm Thuận Nam,2013.0,11029.0
58,Huyện Hàm Thuận Nam,2014.0,11719.0
59,Huyện Hàm Thuận Nam,2015.0,12182.9
60,Huyện Hàm Thuận Nam,2016.0,12275.0
61,Huyện Hàm Thuận Nam,2017.0,12373.0
62,Huyện Hàm Thuận Nam,2018.0,12497.0
63,Huyện Hàm Thuận Nam,2019.0,12856.0
64,Huyện Hàm Thuận Nam,2020.0,15201.2
65,Huyện Hàm Thuận Nam,2021.0,15194.6
66,Huyện Tánh Linh,0.0,7.0
67,Huyện Tánh Linh,2010.0,29.0
68,Huyện Tánh Linh,2011.0,23.0
69,Huyện Tánh Linh,2012.0,31.0
70,Huyện Tánh Linh,2013.0,49.0
71,Huyện Tánh Linh,2014.0,70.0
72,Huyện Tánh Linh,2015.0,122.7
73,Huyện Tánh Linh,2016.0,138.0
74,Huyện Tánh Linh,2017.0,122.0
75,Huyện Tánh Linh,2018.0,125.0
76,Huyện Tánh Linh,2019.0,117.0
77,Huyện Tánh Linh,2020.0,112.0
78,Huyện Tánh Linh,2021.0,84.0
79,Huyện Đức Linh,0.0,8.0
80,Huyện Đức Linh,2014.0,15.0
81,Huyện Đức Linh,2015.0,17.2
82,Huyện Đức Linh,2016.0,17.2
83,Huyện Đức Linh,2017.0,28.9
84,Huyện Đức Linh,2018.0,28.9
85,Huyện Đức Linh,2019.0,19.9
86,Huyện Đức Linh,2020.0,12.6
87,Huyện Hàm Tân,0.0,9.0
88,Huyện Hàm Tân,2010.0,146.0
89,Huyện Hàm Tân,2011.0,169.0
90,Huyện Hàm Tân,2012.0,233.0
91,Huyện Hàm Tân,2013.0,312.0
92,Huyện Hàm Tân,2014.0,601.0
93,Huyện Hàm Tân,2015.0,888.0
94,Huyện Hàm Tân,2016.0,920.5
95,Huyện Hàm Tân,2017.0,1143.5
96,Huyện Hàm Tân,2018.0,1377.0
97,Huyện Hàm Tân,2019.0,1817.7
98,Huyện Hàm Tân,2020.0,2073.0
99,Huyện Hàm Tân,2021.0,2190.0
100,Huyện Phú Quý,0.0,10.0
101,Huyện Phú Quý,2015.0,0.6
102,Huyện Phú Quý,2016.0,0.4
103,Huyện Phú Quý,2017.0,1.0
104,Huyện Phú Quý,2018.0,1.0
105,Huyện Phú Quý,2019.0,1.0
106,Huyện Phú Quý,2020.0,2.2
107,Huyện Phú Quý,2021.0,2.2
